condition,rank,signal,experiment,modality,id,pid
VAE,0,has_item,0,visual,5141,0
contrastive+autoencoder,1,has_item,0,visual,1081,0
autoencoder,2,has_item,0,visual,3754,0
random,3,has_item,0,visual,2999,0
contrastive,4,has_item,0,visual,311,0
VAE,0,has_item,1,visual,520,0
random,1,has_item,1,visual,409,0
contrastive+autoencoder,2,has_item,1,visual,1899,0
autoencoder,3,has_item,1,visual,931,0
contrastive,4,has_item,1,visual,5480,0
contrastive,0,has_item,2,visual,4346,0
autoencoder,1,has_item,2,visual,4407,0
contrastive+autoencoder,2,has_item,2,visual,858,0
random,3,has_item,2,visual,4405,0
VAE,4,has_item,2,visual,4414,0
contrastive,0,has_item,3,visual,4016,0
contrastive+autoencoder,1,has_item,3,visual,2216,0
random,2,has_item,3,visual,5748,0
VAE,3,has_item,3,visual,3459,0
autoencoder,4,has_item,3,visual,5414,0
random,0,has_item,4,visual,2720,0
contrastive,1,has_item,4,visual,4252,0
autoencoder,2,has_item,4,visual,313,0
contrastive+autoencoder,3,has_item,4,visual,662,0
VAE,4,has_item,4,visual,4734,0
VAE,0,has_item,5,visual,5141,0
contrastive+autoencoder,1,has_item,5,visual,1081,0
autoencoder,2,has_item,5,visual,3754,0
random,3,has_item,5,visual,2999,0
contrastive,4,has_item,5,visual,311,0
contrastive,0,has_item,6,visual,1408,0
VAE,1,has_item,6,visual,4241,0
random,2,has_item,6,visual,62,0
autoencoder,3,has_item,6,visual,118,0
contrastive+autoencoder,4,has_item,6,visual,5612,0
contrastive,0,has_item,7,visual,5013,0
random,1,has_item,7,visual,4909,0
autoencoder,2,has_item,7,visual,2806,0
VAE,3,has_item,7,visual,3002,0
contrastive+autoencoder,4,has_item,7,visual,3727,0
contrastive+autoencoder,0,has_item,8,visual,5183,0
VAE,1,has_item,8,visual,5743,0
contrastive,2,has_item,8,visual,4937,0
autoencoder,3,has_item,8,visual,2043,0
random,4,has_item,8,visual,810,0
VAE,0,has_item,9,visual,4217,0
contrastive,1,has_item,9,visual,3806,0
random,2,has_item,9,visual,4441,0
autoencoder,3,has_item,9,visual,4171,0
contrastive+autoencoder,4,has_item,9,visual,2465,0
contrastive+autoencoder,0,has_item,10,auditory,158,0
contrastive,1,has_item,10,auditory,347,0
random,2,has_item,10,auditory,399,0
autoencoder,3,has_item,10,auditory,669,0
VAE,4,has_item,10,auditory,556,0
VAE,0,has_item,11,auditory,497,0
random,1,has_item,11,auditory,358,0
autoencoder,2,has_item,11,auditory,161,0
contrastive,3,has_item,11,auditory,554,0
contrastive+autoencoder,4,has_item,11,auditory,711,0
random,0,has_item,12,auditory,388,0
autoencoder,1,has_item,12,auditory,204,0
VAE,2,has_item,12,auditory,206,0
contrastive,3,has_item,12,auditory,290,0
contrastive+autoencoder,4,has_item,12,auditory,330,0
contrastive,0,has_item,13,auditory,764,0
VAE,1,has_item,13,auditory,227,0
autoencoder,2,has_item,13,auditory,94,0
random,3,has_item,13,auditory,568,0
contrastive+autoencoder,4,has_item,13,auditory,257,0
random,0,has_item,14,auditory,9,0
contrastive+autoencoder,1,has_item,14,auditory,26,0
contrastive,2,has_item,14,auditory,420,0
autoencoder,3,has_item,14,auditory,264,0
VAE,4,has_item,14,auditory,736,0
random,0,has_item,15,auditory,499,0
contrastive+autoencoder,1,has_item,15,auditory,426,0
VAE,2,has_item,15,auditory,236,0
autoencoder,3,has_item,15,auditory,399,0
contrastive,4,has_item,15,auditory,508,0
autoencoder,0,has_item,16,auditory,112,0
random,1,has_item,16,auditory,650,0
VAE,2,has_item,16,auditory,682,0
contrastive+autoencoder,3,has_item,16,auditory,336,0
contrastive,4,has_item,16,auditory,741,0
contrastive,0,has_item,17,auditory,6,0
contrastive+autoencoder,1,has_item,17,auditory,242,0
autoencoder,2,has_item,17,auditory,685,0
random,3,has_item,17,auditory,180,0
VAE,4,has_item,17,auditory,257,0
contrastive+autoencoder,0,has_item,18,auditory,680,0
random,1,has_item,18,auditory,755,0
autoencoder,2,has_item,18,auditory,754,0
VAE,3,has_item,18,auditory,426,0
contrastive,4,has_item,18,auditory,622,0
autoencoder,0,has_item,19,auditory,831,0
VAE,1,has_item,19,auditory,690,0
contrastive,2,has_item,19,auditory,645,0
random,3,has_item,19,auditory,125,0
contrastive+autoencoder,4,has_item,19,auditory,28,0
random,0,has_item,20,kinetic,890,0
autoencoder,1,has_item,20,kinetic,892,0
contrastive,2,has_item,20,kinetic,1017,0
VAE,3,has_item,20,kinetic,894,0
contrastive+autoencoder,4,has_item,20,kinetic,893,0
random,0,has_item,21,kinetic,1520,0
contrastive+autoencoder,1,has_item,21,kinetic,1501,0
VAE,2,has_item,21,kinetic,1505,0
autoencoder,3,has_item,21,kinetic,1511,0
contrastive,4,has_item,21,kinetic,844,0
contrastive,0,has_item,22,kinetic,122,0
autoencoder,1,has_item,22,kinetic,102,0
random,2,has_item,22,kinetic,112,0
VAE,3,has_item,22,kinetic,103,0
contrastive+autoencoder,4,has_item,22,kinetic,108,0
contrastive,0,has_item,23,kinetic,2105,0
autoencoder,1,has_item,23,kinetic,2083,0
random,2,has_item,23,kinetic,2094,0
VAE,3,has_item,23,kinetic,2091,0
contrastive+autoencoder,4,has_item,23,kinetic,2092,0
random,0,has_item,24,kinetic,1399,0
autoencoder,1,has_item,24,kinetic,1384,0
contrastive,2,has_item,24,kinetic,136,0
contrastive+autoencoder,3,has_item,24,kinetic,1376,0
VAE,4,has_item,24,kinetic,1389,0
autoencoder,0,has_item,25,kinetic,890,0
contrastive+autoencoder,1,has_item,25,kinetic,894,0
random,2,has_item,25,kinetic,893,0
contrastive,3,has_item,25,kinetic,1017,0
VAE,4,has_item,25,kinetic,892,0
contrastive+autoencoder,0,has_item,26,kinetic,948,0
VAE,1,has_item,26,kinetic,945,0
autoencoder,2,has_item,26,kinetic,926,0
random,3,has_item,26,kinetic,936,0
contrastive,4,has_item,26,kinetic,1039,0
contrastive,0,has_item,27,kinetic,270,0
VAE,1,has_item,27,kinetic,1391,0
random,2,has_item,27,kinetic,1394,0
autoencoder,3,has_item,27,kinetic,1443,0
contrastive+autoencoder,4,has_item,27,kinetic,1392,0
autoencoder,0,has_item,28,kinetic,1207,0
contrastive,1,has_item,28,kinetic,460,0
random,2,has_item,28,kinetic,1209,0
VAE,3,has_item,28,kinetic,1202,0
contrastive+autoencoder,4,has_item,28,kinetic,1203,0
VAE,0,has_item,29,kinetic,967,0
autoencoder,1,has_item,29,kinetic,965,0
contrastive,2,has_item,29,kinetic,1340,0
random,3,has_item,29,kinetic,969,0
contrastive+autoencoder,4,has_item,29,kinetic,968,0
contrastive+autoencoder,0,has_information,0,visual,4782,0
autoencoder,1,has_information,0,visual,2339,0
contrastive,2,has_information,0,visual,3888,0
random,3,has_information,0,visual,126,0
VAE,4,has_information,0,visual,634,0
VAE,0,has_information,1,visual,856,0
random,1,has_information,1,visual,5444,0
contrastive,2,has_information,1,visual,5729,0
contrastive+autoencoder,3,has_information,1,visual,3865,0
autoencoder,4,has_information,1,visual,958,0
VAE,0,has_information,2,visual,187,0
contrastive,1,has_information,2,visual,2916,0
autoencoder,2,has_information,2,visual,2630,0
random,3,has_information,2,visual,3015,0
contrastive+autoencoder,4,has_information,2,visual,311,0
autoencoder,0,has_information,3,visual,1120,0
random,1,has_information,3,visual,3140,0
VAE,2,has_information,3,visual,2964,0
contrastive,3,has_information,3,visual,20,0
contrastive+autoencoder,4,has_information,3,visual,962,0
random,0,has_information,4,visual,778,0
VAE,1,has_information,4,visual,4728,0
contrastive+autoencoder,2,has_information,4,visual,2416,0
autoencoder,3,has_information,4,visual,5802,0
contrastive,4,has_information,4,visual,4663,0
contrastive,0,has_information,5,visual,1129,0
contrastive+autoencoder,1,has_information,5,visual,3358,0
random,2,has_information,5,visual,2860,0
autoencoder,3,has_information,5,visual,3053,0
VAE,4,has_information,5,visual,3203,0
random,0,has_information,6,visual,5516,0
VAE,1,has_information,6,visual,3580,0
contrastive+autoencoder,2,has_information,6,visual,1395,0
contrastive,3,has_information,6,visual,2394,0
autoencoder,4,has_information,6,visual,3696,0
autoencoder,0,has_information,7,visual,4146,0
VAE,1,has_information,7,visual,756,0
contrastive,2,has_information,7,visual,1321,0
contrastive+autoencoder,3,has_information,7,visual,1785,0
random,4,has_information,7,visual,3088,0
random,0,has_information,8,visual,2518,0
autoencoder,1,has_information,8,visual,1696,0
contrastive+autoencoder,2,has_information,8,visual,2756,0
contrastive,3,has_information,8,visual,5012,0
VAE,4,has_information,8,visual,2526,0
random,0,has_information,9,visual,5589,0
VAE,1,has_information,9,visual,4560,0
contrastive,2,has_information,9,visual,4447,0
autoencoder,3,has_information,9,visual,4523,0
contrastive+autoencoder,4,has_information,9,visual,398,0
autoencoder,0,has_information,10,auditory,81,0
contrastive+autoencoder,1,has_information,10,auditory,121,0
random,2,has_information,10,auditory,515,0
contrastive,3,has_information,10,auditory,300,0
VAE,4,has_information,10,auditory,194,0
contrastive+autoencoder,0,has_information,11,auditory,6,0
contrastive,1,has_information,11,auditory,118,0
autoencoder,2,has_information,11,auditory,626,0
random,3,has_information,11,auditory,448,0
VAE,4,has_information,11,auditory,404,0
contrastive,0,has_information,12,auditory,441,0
autoencoder,1,has_information,12,auditory,166,0
VAE,2,has_information,12,auditory,463,0
random,3,has_information,12,auditory,583,0
contrastive+autoencoder,4,has_information,12,auditory,231,0
contrastive,0,has_information,13,auditory,61,0
contrastive+autoencoder,1,has_information,13,auditory,490,0
random,2,has_information,13,auditory,721,0
VAE,3,has_information,13,auditory,232,0
autoencoder,4,has_information,13,auditory,213,0
VAE,0,has_information,14,auditory,613,0
autoencoder,1,has_information,14,auditory,35,0
contrastive,2,has_information,14,auditory,134,0
random,3,has_information,14,auditory,153,0
contrastive+autoencoder,4,has_information,14,auditory,428,0
contrastive+autoencoder,0,has_information,15,auditory,257,0
contrastive,1,has_information,15,auditory,23,0
random,2,has_information,15,auditory,708,0
autoencoder,3,has_information,15,auditory,377,0
VAE,4,has_information,15,auditory,200,0
random,0,has_information,16,auditory,320,0
contrastive+autoencoder,1,has_information,16,auditory,686,0
VAE,2,has_information,16,auditory,440,0
contrastive,3,has_information,16,auditory,7,0
autoencoder,4,has_information,16,auditory,348,0
contrastive+autoencoder,0,has_information,17,auditory,826,0
contrastive,1,has_information,17,auditory,448,0
VAE,2,has_information,17,auditory,301,0
autoencoder,3,has_information,17,auditory,802,0
random,4,has_information,17,auditory,308,0
contrastive+autoencoder,0,has_information,18,auditory,608,0
contrastive,1,has_information,18,auditory,774,0
VAE,2,has_information,18,auditory,724,0
random,3,has_information,18,auditory,440,0
autoencoder,4,has_information,18,auditory,228,0
autoencoder,0,has_information,19,auditory,285,0
contrastive+autoencoder,1,has_information,19,auditory,782,0
random,2,has_information,19,auditory,301,0
contrastive,3,has_information,19,auditory,748,0
VAE,4,has_information,19,auditory,271,0
random,0,has_information,20,kinetic,815,0
VAE,1,has_information,20,kinetic,816,0
contrastive+autoencoder,2,has_information,20,kinetic,818,0
autoencoder,3,has_information,20,kinetic,819,0
contrastive,4,has_information,20,kinetic,107,0
contrastive,0,has_information,21,kinetic,1272,0
autoencoder,1,has_information,21,kinetic,1349,0
VAE,2,has_information,21,kinetic,1334,0
random,3,has_information,21,kinetic,1326,0
contrastive+autoencoder,4,has_information,21,kinetic,1346,0
random,0,has_information,22,kinetic,1659,0
autoencoder,1,has_information,22,kinetic,1669,0
contrastive+autoencoder,2,has_information,22,kinetic,1668,0
VAE,3,has_information,22,kinetic,1654,0
contrastive,4,has_information,22,kinetic,1909,0
random,0,has_information,23,kinetic,2017,0
contrastive+autoencoder,1,has_information,23,kinetic,2018,0
VAE,2,has_information,23,kinetic,2016,0
autoencoder,3,has_information,23,kinetic,2015,0
contrastive,4,has_information,23,kinetic,391,0
random,0,has_information,24,kinetic,1219,0
contrastive+autoencoder,1,has_information,24,kinetic,1217,0
autoencoder,2,has_information,24,kinetic,1206,0
VAE,3,has_information,24,kinetic,1215,0
contrastive,4,has_information,24,kinetic,591,0
VAE,0,has_information,25,kinetic,1947,0
autoencoder,1,has_information,25,kinetic,1937,0
random,2,has_information,25,kinetic,437,0
contrastive+autoencoder,3,has_information,25,kinetic,1675,0
contrastive,4,has_information,25,kinetic,1939,0
VAE,0,has_information,26,kinetic,969,0
autoencoder,1,has_information,26,kinetic,965,0
random,2,has_information,26,kinetic,967,0
contrastive+autoencoder,3,has_information,26,kinetic,968,0
contrastive,4,has_information,26,kinetic,1340,0
contrastive,0,has_information,27,kinetic,1065,0
contrastive+autoencoder,1,has_information,27,kinetic,1066,0
autoencoder,2,has_information,27,kinetic,1019,0
random,3,has_information,27,kinetic,1067,0
VAE,4,has_information,27,kinetic,1068,0
contrastive+autoencoder,0,has_information,28,kinetic,1065,0
VAE,1,has_information,28,kinetic,940,0
autoencoder,2,has_information,28,kinetic,1069,0
random,3,has_information,28,kinetic,1068,0
contrastive,4,has_information,28,kinetic,1579,0
autoencoder,0,has_information,29,kinetic,1689,0
VAE,1,has_information,29,kinetic,1679,0
contrastive+autoencoder,2,has_information,29,kinetic,1677,0
contrastive,3,has_information,29,kinetic,563,0
random,4,has_information,29,kinetic,1685,0
autoencoder,0,searching,0,visual,2815,1
VAE,1,searching,0,visual,5483,1
contrastive,2,searching,0,visual,3277,1
contrastive+autoencoder,3,searching,0,visual,2791,1
random,4,searching,0,visual,4866,1
contrastive+autoencoder,0,searching,1,visual,5176,1
autoencoder,1,searching,1,visual,4132,1
contrastive,2,searching,1,visual,1352,1
VAE,3,searching,1,visual,5457,1
random,4,searching,1,visual,584,1
random,0,searching,2,visual,778,1
VAE,1,searching,2,visual,4728,1
contrastive+autoencoder,2,searching,2,visual,5314,1
contrastive,3,searching,2,visual,4663,1
autoencoder,4,searching,2,visual,5802,1
random,0,searching,3,visual,4520,1
autoencoder,1,searching,3,visual,4525,1
contrastive,2,searching,3,visual,4617,1
VAE,3,searching,3,visual,4924,1
contrastive+autoencoder,4,searching,3,visual,4650,1
contrastive,0,searching,4,visual,499,1
autoencoder,1,searching,4,visual,170,1
