PID,Signal,Modality
1,searching,visual
2,searching,auditory
3,searching,kinesthetic
4,searching,visual
5,searching,auditory
6,searching,kinesthetic
7,searching,visual
8,searching,auditory
9,searching,kinesthetic
10,has_item,visual
11,has_item,auditory
12,has_item,kinesthetic
13,has_item,visual
14,has_item,auditory
15,has_item,kinesthetic
16,idle,visual
17,idle,auditory
18,idle,kinesthetic
19,searching,visual
20,searching,auditory
21,searching,kinesthetic
22,has_info,visual
23,has_info,auditory
24,has_info,kinesthetic
25,idle,visual
26,idle,auditory
27,idle,kinesthetic
28,idle,visual
29,idle,auditory
30,idle,kinesthetic
31,has_item,visual
32,has_item,auditory
33,has_item,kinesthetic
34,has_info,visual
35,has_info,auditory
36,has_info,kinesthetic
37,has_item,visual
38,has_item,auditory
39,has_item,kinesthetic
40,idle,visual
41,idle,auditory
42,idle,kinesthetic
43,has_info,visual
44,has_info,auditory
45,has_info,kinesthetic
46,has_info,visual
47,has_info,auditory
48,has_info,kinesthetic
49,searching,visual
50,searching,auditory
51,searching,kinesthetic
52,has_info,visual
53,has_info,auditory
54,has_info,kinesthetic
55,idle,visual
56,idle,auditory
57,idle,kinesthetic
58,has_item,visual
59,has_item,auditory
60,has_item,kinesthetic